Food Type,Amount,Prot,Complex,Sugar,O3,O6,Mono-un,Sat,Kcal,GI
oats,1,13.5,58,0.7,0.12,2.8,2.55,1.3,355,
bread rye,1,3.37,17.01,1.4,0.0233,0.52,0.635,0.321,103,
corn flakes ,1,6.8,75,8.5,1.5,1.5,0.3,0.2,375,
Potatoes (Rooster-cooked),1,2.2,16.6,0.5,0.01,0.06,0,0,79,
Potatoes (boiled in skin),1,2,19,1,0.01,0.032,0,0.24,87,
White Rice Paraboiled,1,7.5,79.5,0,0,0.2,0.2,0.2,353,27-87
Basmati Rice,1,8.8,77.8,0.2,0,0.7,0.7,0.6,365,57-69
Brown Rice,1,7.1,76.8,,0,0.7,0.5,0.5,322,50-87
Whole Bread 1loaf (67%),1,4,15.5,1.6,,,,1,86,
Brown Soda Bread 1 loaf,1,3.8,13.8,2.3,0,1.2,1.4,0.5,,
Frozen Butter Baguette,1,8,43.04,0.6,,,5.8,6.3,315,
chips 100g,1,2.7,27.5,0,,,,5.8,173,
Jam Black Currarant,1,0,0,63,0,0,0,0,280,
chick & Turk burger,1,14,8.6,0.4,,,13.1,6.9,272,
CousCous,1,11,69.4,1.6,,,,1.42,339,
spagetti,1,12,75,0,,,,1.1,355,
Wheat Flour,,10.3,69.1,1.5,0,0.8,0.2,0.3,335,
Round Beef,1,20.8,0,0,0,0.2,1.6,1.7,123,
Turkey Breast,1,23.2,0,0,0.025,0.27,0.5,0.3,103,
Ham,1,20,0,1.5,0,0.01,1.69,0.6,104,
Cod,1,12.9,20,0.4,0.3,0.5,0.3,1.1,212,
pork chop,1,27,0,0,0.04,0.924,3.9,3.2,197,
Salmon,1,23,0,,2.4,0.3,2.9,1.7,155,
Tuna can 100g ,1,24,0,0,0.95,0.055,0.8,0.8,128,
chicken drumsticks 100g,1,25.2,0,0,,2.4,4,3,203,
Chunky Haddock Fillets(65%),1,12.3,11.7,0.7,0.2,,6.3,0.6,165,
Chicken breaded,1,10.9,15.5,0.6,0.8,7,6,3.6,264,
Egg,1,6.5,0,0,0,0.6,2.5,1.6,76,
Milk Semi Skimmed 100ml,1,3.4,0,4.8,,,,1.6,35,
Carrot,1,0.9,2.8,4.7,,0.12,0,0,41,
Mixed Veg Gourmet,1,2.7,3,2.8,,0.5,0.5,1.9,60,
Paela,1,5.4,12.5,,,0.6,0.6,2.2,102,
Mixed Vegetables,1,3,7.8,,,,,0.2,45,
Veg Italian Style,1,1.5,0,2.4,,,1.4,2.6,51,
Cucumber,1,1,2,2,0.005,0.028,0,0,15,
Tomato,1,1,1,3,0.003,0.08,,,18,
Sprouts,1,3.2,3.3,0,0.17,0.08,0,0.05,28,
Green Beans,1,,,,,,,,,
Bolognese on Beef,1,14.78,2.7,0.6,0,0.64,6.55,3.83,148,
O3,1,0,,,1.5,,,,12.3,
butter,1,0.4,0,0,0.31,2.7,21,51.4,720,
flora,1,0.4,0,0.1,4.5,19,11,10,410,
coconut des,1,7,16.3,7.4,0,0.7,2.7,57.2,100,
peanuts,1,25.6,6.3,6.2,0.01,15.4,23.4,7.2,564,
walnuts (uk),1,15,11,3,9.1,38.1,8.9,6.1,654,
pumpkin seeds,1,19,53.7,0,0.077,8.759,6,3.7,446,
Sunflower Seeds,1,20,20,3,0.075,34.2,8.1,7.1,592,
Sunflower Oil,1,0,0,0,0,55,27,10,828,
Olive Oil,1,0.1,0.1,0,0.6,8.6,68.3,14.1,824,
Cashew Nuts,1,17.7,20,5,0.17,8.1,29.1,9.8,587,
Helmans Real Mayo,,1.1,0.2,1.3,8.4,18.8,45.3,6.6,722,
tomato,1,0.9,1.3,2.6,0,0.08,0,0,18,
apple,1,0.3,4,10,0.009,0.043,,,52,??
pear,1,0,5,10,0,0.029,0,0,58,
forest fruits,1,1.3,1.7,8.3,0.085,0.13,0.1,0.3,53,
grapes,1,1,3,15,0,0,0,0,69,
banana,1,1,11,12,0.027,0.046,,0.1,89,??
dried fruits,1,3.3,0.3,45.8,,0.4,0.3,0.7,,check whats inside
kiwi,,1.1,6,9,,0.25,,,61,
Peas,1,6,6.5,2.6,0.035,0.15,0,0.1,70,
Clementines 100g,1,1,3,9,,,,0.2,47,
WPI,1,89,,0.6,,,,0.9,333,
WPC 100g,1,82,,6,,,,6.3,393,
Caseine 100g,1,92,,0.3,,,,2,373,
glucose 100g,1,,,85,,,,,380,
Apple Juice,1,0.1,0.4,9.5,,0.01,0.01,0.01,42,
